GAME,"DRAW ID","DRAW DATE","MAIN NUMBERS",SUPP
oz_lotto,1228,"Tuesday 29 Aug 2017","24 8 44 23 22 21 36 ","4 37 "
oz_lotto,1227,"Tuesday 22 Aug 2017","14 43 41 16 7 12 40 ","37 38 "
oz_lotto,1226,"Tuesday 15 Aug 2017","17 43 8 33 25 13 4 ","15 23 "
oz_lotto,1225,"Tuesday 08 Aug 2017","15 21 45 25 6 43 40 ","19 26 "
oz_lotto,1224,"Tuesday 01 Aug 2017","9 16 41 13 37 43 3 ","11 26 "
oz_lotto,1223,"Tuesday 25 Jul 2017","1 15 4 6 22 29 39 ","14 7 "
oz_lotto,1222,"Tuesday 18 Jul 2017","2 45 29 7 23 19 21 ","37 43 "
oz_lotto,1221,"Tuesday 11 Jul 2017","30 40 37 39 36 4 22 ","35 14 "
oz_lotto,1220,"Tuesday 04 Jul 2017","28 33 37 43 18 35 7 ","19 21 "
oz_lotto,1219,"Tuesday 27 Jun 2017","6 3 8 26 41 40 22 ","27 32 "
oz_lotto,1218,"Tuesday 20 Jun 2017","16 25 28 13 23 17 21 ","34 2 "
oz_lotto,1217,"Tuesday 13 Jun 2017","14 9 2 13 43 10 4 ","45 12 "
oz_lotto,1216,"Tuesday 06 Jun 2017","10 23 11 30 19 34 15 ","2 26 "
oz_lotto,1215,"Tuesday 30 May 2017","1 35 31 19 4 13 26 ","25 37 "
oz_lotto,1214,"Tuesday 23 May 2017","4 2 12 22 20 17 38 ","35 16 "
oz_lotto,1213,"Tuesday 16 May 2017","9 21 43 14 22 41 27 ","4 8 "
oz_lotto,1212,"Tuesday 09 May 2017","1 15 45 16 3 20 33 ","39 12 "
oz_lotto,1211,"Tuesday 02 May 2017","28 22 9 19 38 17 2 ","41 33 "
oz_lotto,1210,"Tuesday 25 Apr 2017","11 41 28 43 45 37 27 ","4 31 "
oz_lotto,1209,"Tuesday 18 Apr 2017","42 13 33 44 39 29 27 ","15 31 "
oz_lotto,1208,"Tuesday 11 Apr 2017","25 23 38 45 21 28 1 ","2 33 "
oz_lotto,1207,"Tuesday 04 Apr 2017","6 8 36 45 33 23 1 ","43 27 "
oz_lotto,1206,"Tuesday 28 Mar 2017","12 39 45 41 37 22 23 ","20 18 "
oz_lotto,1205,"Tuesday 21 Mar 2017","27 25 44 33 6 15 31 ","26 19 "
oz_lotto,1204,"Tuesday 14 Mar 2017","10 14 25 6 31 2 28 ","33 8 "
oz_lotto,1203,"Tuesday 07 Mar 2017","21 18 17 6 37 33 4 ","1 8 "
oz_lotto,1202,"Tuesday 28 Feb 2017","2 37 26 17 42 33 27 ","44 4 "
oz_lotto,1201,"Tuesday 21 Feb 2017","19 28 31 5 45 41 9 ","1 37 "
